system:index,BII2020,driver,.geo
1_1_1_1_2_1061,0.810950756072998,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[117.23331223891147,2.0330818083623035]}"
1_1_1_1_2_1082,0.8430604934692383,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[110.31346121085288,-1.6798045240197659]}"
1_1_1_1_2_1112,0.5858257412910461,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[118.0464304127062,1.2211480584482557]}"
1_1_1_1_2_1114,0.6632517576217651,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[112.69878955295573,-2.234012608171678]}"
1_1_1_1_2_1124,0.777489960193634,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[109.47258970489584,-0.26008302131022637]}"
1_1_1_1_2_1127,0.9089031219482422,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[112.37280429282572,-1.6623947555615672]}"
1_1_1_1_2_1148,0.8448480367660522,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[111.43822463352937,-2.4439018888211805]}"
1_1_1_1_2_1152,0.8112106323242188,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[109.46285318098462,1.7993386719598803]}"
1_1_1_1_2_1153,0.6430022716522217,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[110.19919964466688,-1.3924166844642105]}"
1_1_1_1_2_1159,0.7872562408447266,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[110.41706635862452,-1.625027828378255]}"
1_1_1_1_2_1185,0.8658050894737244,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[114.34243216409217,-0.6017347738182371]}"
1_1_1_1_2_1191,0.8042060732841492,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[109.3827192261575,1.3787136824918367]}"
1_1_1_1_2_1194,0.6156163811683655,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[109.37093784392255,-0.3597267187244963]}"
1_1_1_1_2_1202,0.8152974843978882,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[117.19594890596909,2.124731983908585]}"
1_1_1_1_2_1237,0.845780074596405,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[116.30326820571969,-1.2951643565978308]}"
1_1_1_1_2_1238,0.9010069370269775,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[111.5440100807136,0.8220496765900344]}"
1_1_1_1_2_1257,0.7306548357009888,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[110.61761300638084,-1.2222555386795373]}"
1_1_1_1_2_1268,0.8919579386711121,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[115.15692807929004,-1.0498595180865615]}"
1_1_1_1_2_1283,0.8102368712425232,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[110.30781397179038,-0.6241473103888732]}"
1_1_1_1_2_1284,0.9113034009933472,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[118.0255163323689,1.708250116666789]}"
1_1_1_1_2_1299,0.7939674854278564,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[112.79966037148544,0.5224224055912473]}"
1_1_1_1_2_1300,0.8263735771179199,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[114.724372735444,-2.501964593626587]}"
1_1_1_1_2_1301,0.85558021068573,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[117.79936021467341,1.9182041201164857]}"
1_1_1_1_2_1304,0.44315192103385925,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[109.78222453336397,0.016713435492380132]}"
1_1_1_1_2_1333,0.7159960865974426,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[109.24891222924077,-0.4426331914009407]}"
1_1_1_1_2_1338,0.6754394173622131,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[115.86231998598402,-0.8343057160641809]}"
1_1_1_1_2_1345,0.8573440909385681,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[110.5459529910275,-1.3752577436054008]}"
1_1_1_1_2_1349,0.6565201282501221,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[111.77893949908962,-2.7514033566396585]}"
1_1_1_1_2_1353,0.9438677430152893,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[116.27779798243371,0.733158697670135]}"
1_1_1_1_2_1390,0.8596503734588623,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[116.70346112677755,3.9093444602456455]}"
1_1_1_1_2_1395,0.933198094367981,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[115.26480644680043,0.4250326364783767]}"
1_1_1_1_2_1408,0.9445376396179199,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[111.14014182538509,-2.573822035034656]}"
1_1_1_1_2_1412,0.7157366275787354,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[110.3621035512873,-0.38887218323195066]}"
1_1_1_1_2_1415,0.36986997723579407,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[109.64137838550563,1.3559569396202595]}"
1_1_1_1_2_1433,0.8646366000175476,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[111.8826693433061,0.5222386878917702]}"
1_1_1_1_2_1443,0.7571336030960083,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[111.56224730456717,-1.809020973512939]}"
1_1_1_1_2_1448,0.7160198092460632,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[110.36206465071338,-1.2723178132374497]}"
1_1_1_1_2_1456,0.6906121373176575,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[114.19716866389284,-1.8637870578690539]}"
1_1_1_1_2_1460,0.9373960494995117,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[115.82334709329844,-1.4892911149805899]}"
1_1_1_1_2_1477,0.936006486415863,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[111.32226547887848,0.9085265433715153]}"
1_1_1_1_2_1504,0.40505415201187134,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[112.91363106341899,-1.9817518315881628]}"
1_1_1_1_2_1527,0.9392244219779968,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[111.06782141430993,-2.0679677101226464]}"
1_1_1_1_2_1529,0.5446120500564575,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[109.53188964980086,1.433314622628733]}"
1_1_1_1_2_1530,0.920224666595459,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[109.92501549710441,-0.5281080573475911]}"
1_1_1_1_2_1532,0.766435444355011,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[118.07643351839667,2.2733384057578534]}"
1_1_1_1_2_1545,0.8653125166893005,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[111.59430929549531,-2.0471033207860105]}"
1_1_1_1_2_1559,0.9238316416740417,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[113.32717019100642,-1.870400353274568]}"
1_1_1_1_2_1562,0.7028617262840271,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[110.18692857257889,-0.4170065847054415]}"
1_1_1_1_2_1583,0.8372607827186584,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[115.01045668937265,-2.0525462115340516]}"
1_1_1_1_2_1589,0.8392072319984436,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[109.95854502641481,1.3433059173646906]}"
1_1_1_1_2_1598,0.859655499458313,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[111.16445508651192,-1.7081336402430283]}"
1_1_1_1_2_1607,0.504734456539154,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[111.39694060641638,-2.2322422602496457]}"
1_1_1_1_2_1610,0.7135534882545471,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[116.06912883017229,-3.1738667739143076]}"
1_1_1_1_2_1619,0.8910313248634338,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[117.60226329244405,3.410614910656959]}"
1_1_1_1_2_1629,0.7761595845222473,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[109.20459822676813,0.8899518275308476]}"
1_1_1_1_2_1642,0.8076474666595459,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[113.21144557452395,-1.3952298580943672]}"
1_1_1_1_2_1665,0.858626663684845,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[110.57752274523496,-1.4117235680119546]}"
1_1_1_1_2_1680,0.7259851694107056,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[112.88114042188747,-1.4999044191263944]}"
1_1_1_1_2_1682,0.7330139875411987,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[117.35985213728719,2.132123611050354]}"
1_1_1_1_2_1702,0.9363463521003723,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[113.32980715629084,-1.5220110564103042]}"
1_1_1_1_2_1721,0.874627947807312,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[110.3035640215948,-1.1141351918380604]}"
1_1_1_1_2_1731,0.8589416742324829,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[110.30744350341506,-0.7685619531038059]}"
1_1_1_1_2_1753,0.8977317214012146,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[116.72092868383898,2.9213325031003743]}"
1_1_1_1_2_1761,0.86979740858078,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[116.92537155747846,3.584849703969719]}"
1_1_1_1_2_1775,0.6800872683525085,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[117.05412389903867,4.077998731087467]}"
1_1_1_1_2_1782,0.6536914110183716,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[112.56540018542609,-2.5112564637858577]}"
1_1_1_1_2_1807,0.40160349011421204,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[117.7444168729185,2.7060289788372627]}"
1_1_1_1_2_1834,0.8846616148948669,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[112.77326268243999,-1.796511090677746]}"
1_1_1_1_2_1838,0.794388473033905,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[116.06215319870536,-3.555417148041661]}"
1_1_1_1_2_1842,0.8656906485557556,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[116.8978275113715,2.2397822159499907]}"
1_1_1_1_2_1843,0.8595635890960693,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[112.37945362515698,0.5513712255242189]}"
