driver,system:index,.geo
Permanent Agriculture,1_1_1_1_2_1112,"{""type"":""Point"",""coordinates"":[118.0464304127062,1.2211480584482557]}"
Permanent Agriculture,1_1_1_1_2_1114,"{""type"":""Point"",""coordinates"":[112.69878955295573,-2.234012608171678]}"
Permanent Agriculture,1_1_1_1_2_1124,"{""type"":""Point"",""coordinates"":[109.47258970489584,-0.26008302131022637]}"
Permanent Agriculture,1_1_1_1_2_1127,"{""type"":""Point"",""coordinates"":[112.37280429282572,-1.6623947555615672]}"
Permanent Agriculture,1_1_1_1_2_1148,"{""type"":""Point"",""coordinates"":[111.43822463352937,-2.4439018888211805]}"
Permanent Agriculture,1_1_1_1_2_1152,"{""type"":""Point"",""coordinates"":[109.46285318098462,1.7993386719598803]}"
Permanent Agriculture,1_1_1_1_2_1153,"{""type"":""Point"",""coordinates"":[110.19919964466688,-1.3924166844642105]}"
Permanent Agriculture,1_1_1_1_2_1159,"{""type"":""Point"",""coordinates"":[110.41706635862452,-1.625027828378255]}"
Permanent Agriculture,1_1_1_1_2_1185,"{""type"":""Point"",""coordinates"":[114.34243216409217,-0.6017347738182371]}"
Permanent Agriculture,1_1_1_1_2_1191,"{""type"":""Point"",""coordinates"":[109.3827192261575,1.3787136824918367]}"
Permanent Agriculture,1_1_1_1_2_1194,"{""type"":""Point"",""coordinates"":[109.37093784392255,-0.3597267187244963]}"
Permanent Agriculture,1_1_1_1_2_1202,"{""type"":""Point"",""coordinates"":[117.19594890596909,2.124731983908585]}"
Permanent Agriculture,1_1_1_1_2_1237,"{""type"":""Point"",""coordinates"":[116.30326820571969,-1.2951643565978308]}"
Permanent Agriculture,1_1_1_1_2_1238,"{""type"":""Point"",""coordinates"":[111.5440100807136,0.8220496765900344]}"
Permanent Agriculture,1_1_1_1_2_1257,"{""type"":""Point"",""coordinates"":[110.61761300638084,-1.2222555386795373]}"
Permanent Agriculture,1_1_1_1_2_1268,"{""type"":""Point"",""coordinates"":[115.15692807929004,-1.0498595180865615]}"
Permanent Agriculture,1_1_1_1_2_1283,"{""type"":""Point"",""coordinates"":[110.30781397179038,-0.6241473103888732]}"
Permanent Agriculture,1_1_1_1_2_1284,"{""type"":""Point"",""coordinates"":[118.0255163323689,1.708250116666789]}"
Permanent Agriculture,1_1_1_1_2_1299,"{""type"":""Point"",""coordinates"":[112.79966037148544,0.5224224055912473]}"
Permanent Agriculture,1_1_1_1_2_1300,"{""type"":""Point"",""coordinates"":[114.724372735444,-2.501964593626587]}"
Permanent Agriculture,1_1_1_1_2_1301,"{""type"":""Point"",""coordinates"":[117.79936021467341,1.9182041201164857]}"
Permanent Agriculture,1_1_1_1_2_1304,"{""type"":""Point"",""coordinates"":[109.78222453336397,0.016713435492380132]}"
Permanent Agriculture,1_1_1_1_2_1333,"{""type"":""Point"",""coordinates"":[109.24891222924077,-0.4426331914009407]}"
Permanent Agriculture,1_1_1_1_2_1338,"{""type"":""Point"",""coordinates"":[115.86231998598402,-0.8343057160641809]}"
Permanent Agriculture,1_1_1_1_2_1345,"{""type"":""Point"",""coordinates"":[110.5459529910275,-1.3752577436054008]}"
Permanent Agriculture,1_1_1_1_2_1349,"{""type"":""Point"",""coordinates"":[111.77893949908962,-2.7514033566396585]}"
Permanent Agriculture,1_1_1_1_2_1353,"{""type"":""Point"",""coordinates"":[116.27779798243371,0.733158697670135]}"
Permanent Agriculture,1_1_1_1_2_1390,"{""type"":""Point"",""coordinates"":[116.70346112677755,3.9093444602456455]}"
Permanent Agriculture,1_1_1_1_2_1395,"{""type"":""Point"",""coordinates"":[115.26480644680043,0.4250326364783767]}"
Permanent Agriculture,1_1_1_1_2_1408,"{""type"":""Point"",""coordinates"":[111.14014182538509,-2.573822035034656]}"
Permanent Agriculture,1_1_1_1_2_1412,"{""type"":""Point"",""coordinates"":[110.3621035512873,-0.38887218323195066]}"
Permanent Agriculture,1_1_1_1_2_1415,"{""type"":""Point"",""coordinates"":[109.64137838550563,1.3559569396202595]}"
Permanent Agriculture,1_1_1_1_2_1433,"{""type"":""Point"",""coordinates"":[111.8826693433061,0.5222386878917702]}"
Permanent Agriculture,1_1_1_1_2_1443,"{""type"":""Point"",""coordinates"":[111.56224730456717,-1.809020973512939]}"
Permanent Agriculture,1_1_1_1_2_1448,"{""type"":""Point"",""coordinates"":[110.36206465071338,-1.2723178132374497]}"
Permanent Agriculture,1_1_1_1_2_1456,"{""type"":""Point"",""coordinates"":[114.19716866389284,-1.8637870578690539]}"
Permanent Agriculture,1_1_1_1_2_1460,"{""type"":""Point"",""coordinates"":[115.82334709329844,-1.4892911149805899]}"
Permanent Agriculture,1_1_1_1_2_1477,"{""type"":""Point"",""coordinates"":[111.32226547887848,0.9085265433715153]}"
Permanent Agriculture,1_1_1_1_2_1504,"{""type"":""Point"",""coordinates"":[112.91363106341899,-1.9817518315881628]}"
Permanent Agriculture,1_1_1_1_2_1527,"{""type"":""Point"",""coordinates"":[111.06782141430993,-2.0679677101226464]}"
Permanent Agriculture,1_1_1_1_2_1529,"{""type"":""Point"",""coordinates"":[109.53188964980086,1.433314622628733]}"
Permanent Agriculture,1_1_1_1_2_1530,"{""type"":""Point"",""coordinates"":[109.92501549710441,-0.5281080573475911]}"
Permanent Agriculture,1_1_1_1_2_1532,"{""type"":""Point"",""coordinates"":[118.07643351839667,2.2733384057578534]}"
Permanent Agriculture,1_1_1_1_2_1545,"{""type"":""Point"",""coordinates"":[111.59430929549531,-2.0471033207860105]}"
Permanent Agriculture,1_1_1_1_2_1559,"{""type"":""Point"",""coordinates"":[113.32717019100642,-1.870400353274568]}"
Permanent Agriculture,1_1_1_1_2_1562,"{""type"":""Point"",""coordinates"":[110.18692857257889,-0.4170065847054415]}"
Permanent Agriculture,1_1_1_1_2_1583,"{""type"":""Point"",""coordinates"":[115.01045668937265,-2.0525462115340516]}"
Permanent Agriculture,1_1_1_1_2_1589,"{""type"":""Point"",""coordinates"":[109.95854502641481,1.3433059173646906]}"
Permanent Agriculture,1_1_1_1_2_1598,"{""type"":""Point"",""coordinates"":[111.16445508651192,-1.7081336402430283]}"
Permanent Agriculture,1_1_1_1_2_1607,"{""type"":""Point"",""coordinates"":[111.39694060641638,-2.2322422602496457]}"
Permanent Agriculture,1_1_1_1_2_1610,"{""type"":""Point"",""coordinates"":[116.06912883017229,-3.1738667739143076]}"
Permanent Agriculture,1_1_1_1_2_1619,"{""type"":""Point"",""coordinates"":[117.60226329244405,3.410614910656959]}"
Permanent Agriculture,1_1_1_1_2_1629,"{""type"":""Point"",""coordinates"":[109.20459822676813,0.8899518275308476]}"
Permanent Agriculture,1_1_1_1_2_1642,"{""type"":""Point"",""coordinates"":[113.21144557452395,-1.3952298580943672]}"
Permanent Agriculture,1_1_1_1_2_1665,"{""type"":""Point"",""coordinates"":[110.57752274523496,-1.4117235680119546]}"
Permanent Agriculture,1_1_1_1_2_1680,"{""type"":""Point"",""coordinates"":[112.88114042188747,-1.4999044191263944]}"
Permanent Agriculture,1_1_1_1_2_1682,"{""type"":""Point"",""coordinates"":[117.35985213728719,2.132123611050354]}"
Permanent Agriculture,1_1_1_1_2_1702,"{""type"":""Point"",""coordinates"":[113.32980715629084,-1.5220110564103042]}"
Permanent Agriculture,1_1_1_1_2_1721,"{""type"":""Point"",""coordinates"":[110.3035640215948,-1.1141351918380604]}"
Permanent Agriculture,1_1_1_1_2_1731,"{""type"":""Point"",""coordinates"":[110.30744350341506,-0.7685619531038059]}"
Permanent Agriculture,1_1_1_1_2_1753,"{""type"":""Point"",""coordinates"":[116.72092868383898,2.9213325031003743]}"
Permanent Agriculture,1_1_1_1_2_1761,"{""type"":""Point"",""coordinates"":[116.92537155747846,3.584849703969719]}"
Permanent Agriculture,1_1_1_1_2_1775,"{""type"":""Point"",""coordinates"":[117.05412389903867,4.077998731087467]}"
Permanent Agriculture,1_1_1_1_2_1782,"{""type"":""Point"",""coordinates"":[112.56540018542609,-2.5112564637858577]}"
Permanent Agriculture,1_1_1_1_2_1807,"{""type"":""Point"",""coordinates"":[117.7444168729185,2.7060289788372627]}"
Permanent Agriculture,1_1_1_1_2_1834,"{""type"":""Point"",""coordinates"":[112.77326268243999,-1.796511090677746]}"
Permanent Agriculture,1_1_1_1_2_1838,"{""type"":""Point"",""coordinates"":[116.06215319870536,-3.555417148041661]}"
Permanent Agriculture,1_1_1_1_2_1842,"{""type"":""Point"",""coordinates"":[116.8978275113715,2.2397822159499907]}"
Permanent Agriculture,1_1_1_1_2_1843,"{""type"":""Point"",""coordinates"":[112.37945362515698,0.5513712255242189]}"
Permanent Agriculture,1_1_1_1_2_1849,"{""type"":""Point"",""coordinates"":[115.32347968760823,-3.6134548481882787]}"
Permanent Agriculture,1_1_1_1_2_1871,"{""type"":""Point"",""coordinates"":[116.04864087420484,0.15319436659447128]}"
Permanent Agriculture,1_1_1_1_2_1892,"{""type"":""Point"",""coordinates"":[112.04718456659977,0.5949802607945591]}"
Permanent Agriculture,1_1_1_1_2_1908,"{""type"":""Point"",""coordinates"":[109.64024980494685,0.06414689841209445]}"
Permanent Agriculture,1_1_1_1_2_1927,"{""type"":""Point"",""coordinates"":[112.24782680476844,-2.1346740167200524]}"
Permanent Agriculture,1_1_1_1_2_1961,"{""type"":""Point"",""coordinates"":[109.58875711956796,1.5504278844706103]}"
Permanent Agriculture,1_1_1_1_2_1962,"{""type"":""Point"",""coordinates"":[115.60019259249798,-0.582634602056914]}"
Permanent Agriculture,1_1_1_1_2_1966,"{""type"":""Point"",""coordinates"":[109.89392581932202,-0.037512268614508223]}"
Permanent Agriculture,1_1_1_1_2_1981,"{""type"":""Point"",""coordinates"":[118.5097234379438,0.952352304294435]}"
Permanent Agriculture,1_1_1_1_2_1996,"{""type"":""Point"",""coordinates"":[109.86074367859811,0.7381343742047148]}"
Permanent Agriculture,1_1_1_1_2_1999,"{""type"":""Point"",""coordinates"":[115.46415386397852,-0.3198444082182478]}"
Permanent Agriculture,1_1_1_1_2_2016,"{""type"":""Point"",""coordinates"":[109.91327061703356,-1.7742045098426467]}"
Permanent Agriculture,1_1_1_1_2_2022,"{""type"":""Point"",""coordinates"":[110.53443463032883,-2.380450652938827]}"
Permanent Agriculture,1_1_1_1_2_2037,"{""type"":""Point"",""coordinates"":[109.34705706551176,-0.3458772096984936]}"
Permanent Agriculture,1_1_1_1_2_2046,"{""type"":""Point"",""coordinates"":[110.07405546270222,0.6653627944521933]}"
Permanent Agriculture,1_1_1_1_2_2050,"{""type"":""Point"",""coordinates"":[114.88920442084022,-0.4999237024299639]}"
Permanent Agriculture,1_1_1_1_2_2057,"{""type"":""Point"",""coordinates"":[111.22894078199501,-0.2636089914853484]}"
Permanent Agriculture,1_1_1_1_2_2073,"{""type"":""Point"",""coordinates"":[115.26082237867013,-1.053806913340279]}"
Permanent Agriculture,1_1_1_1_2_2077,"{""type"":""Point"",""coordinates"":[117.20765135083596,4.24941113252554]}"
Permanent Agriculture,1_1_1_1_2_2080,"{""type"":""Point"",""coordinates"":[117.35820059457807,2.031205954702657]}"
Permanent Agriculture,1_1_1_1_2_2108,"{""type"":""Point"",""coordinates"":[111.6159148556004,0.03545746088850245]}"
Permanent Agriculture,1_1_1_1_2_2117,"{""type"":""Point"",""coordinates"":[109.96872373707363,0.30244474821154277]}"
Permanent Agriculture,1_1_1_1_2_2122,"{""type"":""Point"",""coordinates"":[112.22431512645402,-2.792676181466502]}"
Permanent Agriculture,1_1_1_1_2_2123,"{""type"":""Point"",""coordinates"":[111.58045696712846,-2.8136221504642243]}"
Permanent Agriculture,1_1_1_1_2_2124,"{""type"":""Point"",""coordinates"":[114.41647686919191,-1.0848427291179308]}"
Permanent Agriculture,1_1_1_1_2_2128,"{""type"":""Point"",""coordinates"":[114.97928448207259,-2.044085637269647]}"
Permanent Agriculture,1_1_1_1_2_2135,"{""type"":""Point"",""coordinates"":[113.51030540861959,-1.4149810661964868]}"
Permanent Agriculture,1_1_1_1_2_2147,"{""type"":""Point"",""coordinates"":[110.19395613498301,-0.7327068918087903]}"
Permanent Agriculture,1_1_1_1_2_2151,"{""type"":""Point"",""coordinates"":[112.97081196226111,-1.4820026352849727]}"
Permanent Agriculture,1_1_1_1_2_2160,"{""type"":""Point"",""coordinates"":[115.29963984476993,-1.6543086941836282]}"
Permanent Agriculture,1_1_1_1_2_2187,"{""type"":""Point"",""coordinates"":[117.65641117725863,4.088307842580376]}"
Permanent Agriculture,1_1_1_1_2_2203,"{""type"":""Point"",""coordinates"":[114.24783849953948,-3.346269967957936]}"
Permanent Agriculture,1_1_1_1_2_2206,"{""type"":""Point"",""coordinates"":[113.08702836781241,-1.6474216802756265]}"
Permanent Agriculture,1_1_1_1_2_2227,"{""type"":""Point"",""coordinates"":[118.1731703912703,1.2162492284552806]}"
Permanent Agriculture,1_1_1_1_2_2247,"{""type"":""Point"",""coordinates"":[113.24758350697151,-1.2818846567447744]}"
Permanent Agriculture,1_1_1_1_2_2260,"{""type"":""Point"",""coordinates"":[111.44650423509343,-2.1023808870585334]}"
Permanent Agriculture,1_1_1_1_2_2280,"{""type"":""Point"",""coordinates"":[110.47534639668466,0.11465474266789928]}"
Permanent Agriculture,1_1_1_1_2_2284,"{""type"":""Point"",""coordinates"":[111.07342087838713,-2.1591175531306126]}"
Permanent Agriculture,1_1_1_1_2_2292,"{""type"":""Point"",""coordinates"":[112.81953435458381,-2.3561054558475485]}"
Permanent Agriculture,1_1_1_1_2_2296,"{""type"":""Point"",""coordinates"":[111.55753424608923,-2.430872982170585]}"
Permanent Agriculture,1_1_1_1_2_2299,"{""type"":""Point"",""coordinates"":[117.5943247205991,2.251622224195147]}"
Permanent Agriculture,1_1_1_1_2_2302,"{""type"":""Point"",""coordinates"":[110.58886680265671,-0.9684031581871921]}"
Permanent Agriculture,1_1_1_1_2_2321,"{""type"":""Point"",""coordinates"":[111.04462153491035,-2.666086360291532]}"
Permanent Agriculture,1_1_1_1_2_2329,"{""type"":""Point"",""coordinates"":[117.4439032609702,2.1080664245813954]}"
Permanent Agriculture,1_1_1_1_2_2337,"{""type"":""Point"",""coordinates"":[111.21308860768066,0.9854353566691212]}"
Permanent Agriculture,1_1_1_1_2_2342,"{""type"":""Point"",""coordinates"":[110.37890289115548,-0.7691118501477686]}"
Permanent Agriculture,1_1_1_1_2_2344,"{""type"":""Point"",""coordinates"":[110.64239452617669,-2.191668168725065]}"
Permanent Agriculture,1_1_1_1_2_2352,"{""type"":""Point"",""coordinates"":[110.95602255268759,-2.6476238313867895]}"
Permanent Agriculture,1_1_1_1_2_2354,"{""type"":""Point"",""coordinates"":[117.25983245964571,4.303399514697365]}"
Permanent Agriculture,1_1_1_1_2_2356,"{""type"":""Point"",""coordinates"":[116.29685145203614,-2.555415798300928]}"
Permanent Agriculture,1_1_1_1_2_2357,"{""type"":""Point"",""coordinates"":[115.993506812872,-2.6470992794250194]}"
Permanent Agriculture,1_1_1_1_2_2367,"{""type"":""Point"",""coordinates"":[114.51539004571096,0.7638639904772415]}"
Permanent Agriculture,1_1_1_1_2_2375,"{""type"":""Point"",""coordinates"":[114.92585268932737,-0.4247128775755012]}"
Permanent Agriculture,1_1_1_1_2_2386,"{""type"":""Point"",""coordinates"":[117.67887633592453,2.646964651495945]}"
Permanent Agriculture,1_1_1_1_2_2395,"{""type"":""Point"",""coordinates"":[111.68635930897159,-2.6452580180572687]}"
Permanent Agriculture,1_1_1_1_2_2402,"{""type"":""Point"",""coordinates"":[109.28412076955689,-0.3017327365450996]}"
Permanent Agriculture,1_1_1_1_2_2405,"{""type"":""Point"",""coordinates"":[117.60710350871662,2.2757615674470175]}"
